name,pick_24,pick_62,pick_99,pick_129
Travis Bazzana,0.336502046669283,0.391713849006114,0.606681068162445,0.874940099667436
Chase Burns,0.321910873053984,0.391713849006114,0.606681068162445,0.874940099667436
Charlie Condon,0.321910873053984,0.391713849006114,0.606681068162445,0.874940099667436
Nick Kurtz,0.323650163386137,0.177268902939411,0.0870644680777408,0.0843164346424517
Hagen Smith,0.336502046669283,0.391713849006114,0.606681068162445,0.874940099667436
Jac Caglianone,0.321910873053984,0.391713849006114,0.606681068162445,0.874940099667436
JJ Wetherholt,0.336502046669283,0.391713849006114,0.606681068162445,0.874940099667436
Christian Moore,0.309058989770837,0.177268902939411,0.0870644680777408,0.0843164346424517
Konnor Griffin,0.368259658617872,0.343692044819796,0.406073436967127,0.538828936001978
Seaver King,0.323650163386137,0.284491375972762,0.346872768120093,0.479628267154944
Bryce Rainer,0.368259658617872,0.343692044819796,0.406073436967127,0.538828936001978
Braden Montgomery,0.309058989770837,0.284491375972762,0.346872768120093,0.479628267154944
Cam Smith,0.309058989770837,0.284491375972762,0.346872768120093,0.479628267154944
Jurrangelo Cijntje,0.287401173748768,0.16018634644597,0.0781436382692977,0.0702279267103535
Braylon Payne,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Carson Benge,0.323650163386137,0.177268902939411,0.0870644680777408,0.0843164346424517
Trey Yesavage,0.323650163386137,0.177268902939411,0.0870644680777408,0.0843164346424517
Kaelen Culpepper,0.287401173748768,0.16018634644597,0.0781436382692977,0.0702279267103535
Vance Honeycutt,0.272810000133469,0.16018634644597,0.0781436382692977,0.0702279267103535
Kellon Lindsey,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Kash Mayfield,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Ben Hess,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Dante Nori,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Walker Janek,0.309058989770837,0.177268902939411,0.0870644680777408,0.0843164346424517
Slade Caldwell,0.346601842595802,0.219387015293004,0.137344307116332,0.129428595557388
Malcolm Moore,0.309058989770837,0.177268902939411,0.0870644680777408,0.0843164346424517
Ryan Waldschmidt,0.323650163386137,0.177268902939411,0.0870644680777408,0.0843164346424517
Griff O'Ferrall,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Blake Burke,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
JD Dix,0.310352852958434,0.203114879034553,0.130387187877286,0.118238898465828
Braylon Doughty,0.382850832233171,0.236469571786445,0.146265136924775,0.143517103489486
Levi Sterling,0.310352852958434,0.203114879034553,0.130387187877286,0.118238898465828
Brody Brecht,0.309058989770837,0.284491375972762,0.346872768120093,0.479628267154944
Caleb Lomavita,0.272810000133469,0.16018634644597,0.0781436382692977,0.0702279267103535
Tommy White,0.287401173748768,0.16018634644597,0.0781436382692977,0.0702279267103535
David Shields,0.310352852958434,0.203114879034553,0.130387187877286,0.118238898465828
Jared Thomas,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
Caleb Bonemer,0.274103863321065,0.186842742776102,0.123430068638241,0.10704920137427
Luke Dickerson,0.274103863321065,0.186842742776102,0.123430068638241,0.10704920137427
Chris Cortez,0.287401173748768,0.16018634644597,0.0781436382692977,0.0702279267103535
Jonathan Santucci,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Wyatt Sanford,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Jacob Cozart,0.287401173748768,0.16018634644597,0.0781436382692977,0.0702279267103535
Owen Hall,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Payton Tolle,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Tyson Lewis,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Boston Bateman,0.310352852958434,0.203114879034553,0.130387187877286,0.118238898465828
Bryce Cunningham,0.272810000133469,0.16018634644597,0.0781436382692977,0.0702279267103535
Cole Mathis,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Ryan Sloan,0.382850832233171,0.236469571786445,0.146265136924775,0.143517103489486
Carter Johnson,0.382850832233171,0.236469571786445,0.146265136924775,0.143517103489486
Bryce Meccage,0.295761679343134,0.203114879034553,0.130387187877286,0.118238898465828
Khal Stephen,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Billy Amick,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Ethan Anderson,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Carter Holton,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Griffin Burkholder,0.295761679343134,0.203114879034553,0.130387187877286,0.118238898465828
Ivan Luciano,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Dylan Dreiling,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Blake Larson,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Dasan Hill,0.368259658617872,0.236469571786445,0.146265136924775,0.143517103489486
Aiden May,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Luke Holman,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Ethan Schiefelbein,0.310352852958434,0.203114879034553,0.130387187877286,0.118238898465828
Gage Jump,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Ryan Johnson,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Josh Kuroda-Grauer,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Drew Beam,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Cole Messina,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Nick McLain,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Kevin Bazzell,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Brian Holiday,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Nate Dohm,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Josh Hartle,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Joey Oakie,0.332010668980503,0.219387015293004,0.137344307116332,0.129428595557388
Josh Randall,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Brandon Neely,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Mike Sirota,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Cobb Hightower,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Thatcher Hurd,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Ronny Cruz,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Hunter Cranton,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Gage Miller,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Jaron DeBerry,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Nathan Flewelling,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Johnny King,0.274103863321065,0.186842742776102,0.123430068638241,0.10704920137427
Khadim Diaw,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Austin Overn,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Chase Harlan,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Luke Sinnard,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
John Spikerman,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Ryan Forcucci,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
Daniel Eagen,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
Casey Cook,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Rodney Green,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Blake Wright,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Casey Saucke,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Jackson Kent,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Ryan Campos,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Austin Gordon,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Eddie Rynders,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Rafe Schlesinger,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Michael Massey,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Zach Ehrhard,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Dakota Jordan,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Peyton Stovall,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Tyson Neighbors,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Gage Ziehl,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Ty Southisene,0.223263700068397,0.170570606517651,0.116472949399196,0.107644798637445
Josh Caron,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Fenwick Trimble,0.178654204836662,0.111369937670617,0.0572722805521617,0.0484441297904106
Marco Dinges,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Nate Knowles,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Sean Keys,0.251152184111399,0.143914210187519,0.0711865190302521,0.0590382296187945
Jaime Ferrer,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Chase Allsup,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Jakob Wright,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Herick Hernandez,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Carson DeMartini,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Parker Smith,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Tytus Cissell,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
David Hagaman,0.272810000133469,0.16018634644597,0.0781436382692977,0.0702279267103535
Kavares Tears,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
Clark Candiotti,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Nick Mitchell,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Sam Stuhr,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
A.J. Causey,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Sam Antonacci,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Braden Davis,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Dylan Jordan,0.15076572079366,0.138026334000749,0.102558710921105,0.108835993163797
Trey Snyder,0.223263700068397,0.170570606517651,0.116472949399196,0.107644798637445
Will Taylor,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Aidan Major,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Jack Penney,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Brandon Clarke,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Jakob Christian,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Tristan Smith,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Kale Fountain,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
Greysen Carter,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Ariel Armas,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Charlie Beilenson,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Grant Shepardson,0.259512689705766,0.186842742776102,0.123430068638241,0.10704920137427
John Holobetz,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Jacob Kmatz,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Jackson Wentworth,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Caden Kendle,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Ryan Stafford,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Carter Mathison,0.164063031221363,0.111369937670617,0.0572722805521617,0.0484441297904106
Cole Hertzler,0.200312020858731,0.127642073929068,0.0642293997912068,0.047848532527236
Connor Foley,0.0915650519466258,0.0788256651537152,0.043358042074071,0.0496353243167622
Devin Fitz-Gerald,0.15076572079366,0.138026334000749,0.102558710921105,0.108835993163797
Mason Marriott,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Dennis Colleran,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Brock Moore,0.214903194474031,0.127642073929068,0.0642293997912068,0.047848532527236
Luke Hayden,0.2365610104961,0.143914210187519,0.0711865190302521,0.0590382296187945
Chase Mobley,0.295761679343134,0.203114879034553,0.130387187877286,0.118238898465828
