name,0,0,0
Travis Bazzana,0.3333387876072879,7.31153493910369e-06,6.777978778560339e-10
Chase Burns,0.3396868011447959,8.957809668521444e-06,9.73968761299312e-10
Charlie Condon,0.29021949177317663,1.6459321312379785e-06,4.7314533870141274e-11
Nick Kurtz,0.7255653042507468,0.031639103691227737,0.0021016618946225547
Hagen Smith,0.29639535630209174,2.0646819428693144e-06,7.091438022863502e-11
Jac Caglianone,0.21127615867020538,5.3978027288161536e-08,1.0601635056974931e-13
JJ Wetherholt,0.3333387876072879,7.31153493910369e-06,6.777978778560339e-10
Christian Moore,0.6914187965934742,0.01883049096467733,0.0008322236501004121
Konnor Griffin,0.41952364434503,8.691318652164745e-05,5.628007072523593e-08
Seaver King,0.41688569431903016,8.120753108097546e-05,4.985508767863962e-08
Bryce Rainer,0.38678215661799786,3.6240920770973544e-05,1.1807878785551319e-08
Braden Montgomery,0.4278247934702808,0.00010732180620427105,8.201349914980122e-08
Cam Smith,0.5088235544708085,0.0006938786856697459,2.2960468354303295e-06
Jurrangelo Cijntje,0.8202837903312877,0.11853579776463803,0.022213301748021955
Braylon Payne,0.9256267597343422,0.43520361600011076,0.22645652905316746
Carson Benge,0.6459881662021976,0.00905991328088055,0.0002254275411480515
Trey Yesavage,0.7382314235767774,0.038118156478162024,0.0029309021563221184
Kaelen Culpepper,0.770296688508155,0.060243129247635606,0.0066352995144360995
Vance Honeycutt,0.7762710474991885,0.06546767955238214,0.00769736053700432
Kellon Lindsey,0.5952427168962486,0.0037553386930230352,4.67954047889575e-05
Kash Mayfield,0.6744881065326801,0.014419803085761657,0.0005168069641217054
Ben Hess,0.9134488763727805,0.3773789213392236,0.17557104877155905
Dante Nori,0.9256267597343422,0.43520361600011076,0.22645652905316746
Walker Janek,0.7807179263946044,0.06961961544002983,0.008590445252659664
Slade Caldwell,0.783360942888341,0.07219907792251792,0.009166895556862138
Malcolm Moore,0.7807179263946044,0.06961961544002983,0.008590445252659664
Ryan Waldschmidt,0.6459881662021976,0.00905991328088055,0.0002254275411480515
Griff O'Ferrall,0.8743122640724041,0.2355364016483736,0.07568021745144903
Blake Burke,0.9087456704044113,0.35698038146587646,0.15898990655444378
JD Dix,0.8643100081384677,0.20809733368653077,0.06066698471049902
Braylon Doughty,0.7330789072808054,0.0353498666831374,0.002561802959680798
Levi Sterling,0.9115425199320737,0.3689866649912071,0.16866177623683248
Brody Brecht,0.554495237363971,0.0017503965749042184,1.1977841414757746e-05
Caleb Lomavita,0.8735454344138961,0.23332211706751985,0.07441477123740185
Tommy White,0.8270275789489425,0.12945753342540015,0.025998458576063685
David Shields,0.8952142300299627,0.30374438048189834,0.11916832820685531
Jared Thomas,0.8708244724652764,0.2256166291862515,0.07008450323024881
Caleb Bonemer,0.9436913250130124,0.5358608884237793,0.32831973689148125
Luke Dickerson,0.9436913250130124,0.5358608884237793,0.32831973689148125
Chris Cortez,0.8472530188657887,0.16791240058935517,0.04136170837466955
Jonathan Santucci,0.8974522757643393,0.312019219275185,0.1250258871060312
Wyatt Sanford,0.5952427168962486,0.0037553386930230352,4.67954047889575e-05
Jacob Cozart,0.8868697563600063,0.27461660266398297,0.09954079181707864
Owen Hall,0.7192857842249528,0.02881290855061209,0.0017783471333048064
Payton Tolle,0.945837383186055,0.5491254471914142,0.342969266806114
Tyson Lewis,0.5952427168962486,0.0037553386930230352,4.67954047889575e-05
Boston Bateman,0.9009449556856289,0.32534210004263575,0.13471554130363175
Bryce Cunningham,0.838705347582629,0.1505490833762049,0.03403850661534284
Cole Mathis,0.9519445020860573,0.5885191224104264,0.3881243163706465
Ryan Sloan,0.7330789072808054,0.0353498666831374,0.002561802959680798
Carter Johnson,0.6133132860008533,0.005181602543433647,8.3138924303271e-05
Bryce Meccage,0.9063925609253258,0.3471547049413975,0.15126216730591374
Khal Stephen,0.9134488763727805,0.3773789213392236,0.17557104877155905
Billy Amick,0.9416569356315556,0.5235555983545521,0.31498176141410583
Ethan Anderson,0.9627114651755914,0.6642643030572755,0.48176869585123827
Carter Holton,0.9426209246960103,0.5293541019647788,0.32123657426069624
Griffin Burkholder,0.8680492511697175,0.21799596059097442,0.06591461124935113
Ivan Luciano,0.9595826142219311,0.6413898280954619,0.4525530682472308
Dylan Dreiling,0.9272418163013927,0.4434478272092801,0.23417174593124152
Blake Larson,0.9378614996648013,0.5012813006620221,0.2914593783510673
Dasan Hill,0.6744881065326801,0.014419803085761657,0.0005168069641217054
Aiden May,0.9134488763727805,0.3773789213392236,0.17557104877155905
Luke Holman,0.9134488763727805,0.3773789213392236,0.17557104877155905
Ethan Schiefelbein,0.9009449556856289,0.32534210004263575,0.13471554130363175
Gage Jump,0.9426209246960103,0.5293541019647788,0.32123657426069624
Ryan Johnson,0.9134488763727805,0.3773789213392236,0.17557104877155905
Josh Kuroda-Grauer,0.9449258388832498,0.5434553262894423,0.3366727065185206
Drew Beam,0.9517604066080309,0.5872951150029455,0.38668441604350384
Cole Messina,0.9806318653643603,0.8101485141983289,0.6867004286636383
Nick McLain,0.9712656020012151,0.7306298920717216,0.5710436017216692
Kevin Bazzell,0.9365340369509475,0.4936960846259564,0.2836328923903424
Brian Holiday,0.9748748595878028,0.760392617491191,0.6132335151505189
Nate Dohm,0.9488861053367639,0.5684816470871878,0.3648494506670572
Josh Hartle,0.8974522757643393,0.312019219275185,0.1250258871060312
Joey Oakie,0.8353077265672839,0.1441122432176071,0.03148414191902762
Josh Randall,0.9517604066080309,0.5872951150029455,0.38668441604350384
Brandon Neely,0.9748748595878028,0.760392617491191,0.6132335151505189
Mike Sirota,0.8777957301540658,0.2458371603995552,0.08168998201040917
Cobb Hightower,0.9189588826187591,0.40261806137080014,0.1970813817703689
Thatcher Hurd,0.9134488763727805,0.3773789213392236,0.17557104877155905
Ronny Cruz,0.9189588826187591,0.40261806137080014,0.1970813817703689
Hunter Cranton,0.9182283426693185,0.39918597540029144,0.19409223930676758
Gage Miller,0.9712656020012151,0.7306298920717216,0.5710436017216692
Jaron DeBerry,0.9517604066080309,0.5872951150029455,0.38668441604350384
Nathan Flewelling,0.9595826142219311,0.6413898280954619,0.4525530682472308
Johnny King,0.9446226975734426,0.5415814836789345,0.33460312926046154
Khadim Diaw,0.9604760498291549,0.6478475605150605,0.4607195042077067
Austin Overn,0.9272418163013927,0.4434478272092801,0.23417174593124152
Chase Harlan,0.9403514859777954,0.5157950102479,0.30669523270716675
Luke Sinnard,0.908404235838411,0.35553921233818575,0.15784585925767872
John Spikerman,0.9292682484651443,0.4539922400080988,0.24420486844180758
Ryan Forcucci,0.908404235838411,0.35553921233818575,0.15784585925767872
Daniel Eagen,0.908404235838411,0.35553921233818575,0.15784585925767872
Casey Cook,0.9351180817645586,0.48572010319976355,0.2755044507205555
Rodney Green,0.9595826923105909,0.6413903899576869,0.45255377598172786
Blake Wright,0.9695348527008635,0.7167361120720188,0.5518026693632919
Casey Saucke,0.9618676253535282,0.6580233774766557,0.4737179970723477
Jackson Kent,0.9700455478518782,0.7208106350047946,0.5574152430548147
Ryan Campos,0.9806318653643603,0.8101485141983289,0.6867004286636383
Austin Gordon,0.9733585114821937,0.7477570630579731,0.5951605606207736
Eddie Rynders,0.9189588826187591,0.40261806137080014,0.1970813817703689
Rafe Schlesinger,0.9700455478518782,0.7208106350047946,0.5574152430548147
Michael Massey,0.9134488763727805,0.3773789213392236,0.17557104877155905
Zach Ehrhard,0.9272418163013927,0.4434478272092801,0.23417174593124152
Dakota Jordan,0.9272418163013927,0.4434478272092801,0.23417174593124152
Peyton Stovall,0.948016683316521,0.5628996058440635,0.3584784956929019
Tyson Neighbors,0.9134488763727805,0.3773789213392236,0.17557104877155905
Gage Ziehl,0.9748748595878028,0.760392617491191,0.6132335151505189
Ty Southisene,0.9548916413047107,0.6084316242361024,0.4118788537331772
Josh Caron,0.9627114651755914,0.6642643030572755,0.48176869585123827
Fenwick Trimble,0.9618676253535282,0.6580233774766557,0.4737179970723477
Marco Dinges,0.9782165225846129,0.7889247204689206,0.6549155863801552
Nate Knowles,0.9717519818816264,0.7345780916780833,0.5765641719905291
Sean Keys,0.9014744113737176,0.32740614926393025,0.13624511476091739
Jaime Ferrer,0.98776926799847,0.8759274978585593,0.7893920119206188
Chase Allsup,0.9914892601741812,0.9120981637301439,0.8485261601656482
Jakob Wright,0.9898367665843474,0.8958664567397895,0.8217571795841021
Herick Hernandez,0.9898367665843474,0.8958664567397895,0.8217571795841021
Carson DeMartini,0.9207124433152107,0.4109658181037649,0.2044355044336005
Parker Smith,0.9717519818816264,0.7345780916780833,0.5765641719905291
Tytus Cissell,0.9189588826187591,0.40261806137080014,0.1970813817703689
David Hagaman,0.838705347582629,0.1505490833762049,0.03403850661534284
Kavares Tears,0.8708244724652764,0.2256166291862515,0.07008450323024881
Clark Candiotti,0.9914892601741812,0.9120981637301439,0.8485261601656482
Nick Mitchell,0.98776926799847,0.8759274978585593,0.7893920119206188
Sam Stuhr,0.9914892601741812,0.9120981637301439,0.8485261601656482
A.J. Causey,0.9914892601741812,0.9120981637301439,0.8485261601656482
Sam Antonacci,0.9902547594924497,0.8999472649901021,0.8284516327124234
Braden Davis,0.9392196644771819,0.5091512153720126,0.2996784965777169
Dylan Jordan,0.9912937099546496,0.9101635435624559,0.8453158245753158
Trey Snyder,0.9548916413047107,0.6084316242361024,0.4118788537331772
Will Taylor,0.98776926799847,0.8759274978585593,0.7893920119206188
Aidan Major,0.9914892601741812,0.9120981637301439,0.8485261601656482
Jack Penney,0.9866327992869319,0.865139672703918,0.7721199389102528
Brandon Clarke,0.9392196644771819,0.5091512153720126,0.2996784965777169
Jakob Christian,0.98776926799847,0.8759274978585593,0.7893920119206188
Tristan Smith,0.9898367665843474,0.8958664567397895,0.8217571795841021
Kale Fountain,0.9403514859777954,0.5157950102479,0.30669523270716675
Greysen Carter,0.9914892601741812,0.9120981637301439,0.8485261601656482
Ariel Armas,0.993452104183124,0.9317246713801066,0.881396761989715
Charlie Beilenson,0.9914892601741812,0.9120981637301439,0.8485261601656482
Grant Shepardson,0.9477378870752033,0.561120177950431,0.3564579623343838
John Holobetz,0.9914892601741812,0.9120981637301439,0.8485261601656482
Jacob Kmatz,0.9914892601741812,0.9120981637301439,0.8485261601656482
Jackson Wentworth,0.9717519818816264,0.7345780916780833,0.5765641719905291
Caden Kendle,0.98776926799847,0.8759274978585593,0.7893920119206188
Ryan Stafford,0.9604760498291549,0.6478475605150605,0.4607195042077067
Carter Mathison,0.9595826923105909,0.6413903899576869,0.45255377598172786
Cole Hertzler,0.9488861053367639,0.5684816470871878,0.3648494506670572
Connor Foley,0.9914892601741812,0.9120981637301439,0.8485261601656482
Devin Fitz-Gerald,0.9863264346248075,0.8622522322758759,0.7675254742443655
Mason Marriott,0.9517604066080309,0.5872951150029455,0.38668441604350384
Dennis Colleran,0.9517604066080309,0.5872951150029455,0.38668441604350384
Brock Moore,0.9517604066080309,0.5872951150029455,0.38668441604350384
Luke Hayden,0.908404235838411,0.35553921233818575,0.15784585925767872
Chase Mobley,0.9063925609253258,0.3471547049413975,0.15126216730591374
