name,0,0
Travis Bazzana,0.5999722485055082,2.6600305510528553e-08
Chase Burns,0.6052586559519367,3.588918199664825e-08
Charlie Condon,0.5625430243088347,2.9494521353904442e-09
Nick Kurtz,0.8614130250195089,0.006137182913905497
Hagen Smith,0.5680784180119134,4.120340346261496e-09
Jac Caglianone,0.4853334841269381,1.9084941326451804e-11
JJ Wetherholt,0.5999722485055082,2.6600305510528553e-08
Christian Moore,0.8423179117277491,0.002854829242182412
Konnor Griffin,0.6676874904903759,1.0245334636993016e-06
Seaver King,0.6657318474781269,9.268982345958415e-07
Bryce Rainer,0.6429283673952144,2.819867450008126e-07
Braden Montgomery,0.6737989843900922,1.3983989429943009e-06
Cam Smith,0.7303770780975121,2.1937379541481943e-05
Jurrangelo Cijntje,0.9119927381962841,0.04305400197044878
Braylon Payne,0.9646992422214278,0.29316004204695073
Carson Benge,0.8161127114216548,0.0009703904113375116
Trey Yesavage,0.8683734829969939,0.00807793738562488
Kaelen Culpepper,0.8857138353259446,0.015866319587917902
Vance Honeycutt,0.8889017182104904,0.017936967316586477
Kellon Lindsey,0.7856473892581913,0.00026474713872322406
Kash Mayfield,0.8326628550136748,0.0019259052653737036
Ben Hess,0.9587762948536832,0.23756697968247398
Dante Nori,0.9646992422214278,0.29316004204695073
Walker Janek,0.8912660348154979,0.019639749469554386
Slade Caldwell,0.8926678614850546,0.020722375121077184
Malcolm Moore,0.8912660348154979,0.019639749469554386
Ryan Waldschmidt,0.8161127114216548,0.0009703904113375116
Griff O'Ferrall,0.9394499331812108,0.11853416796741155
Blake Burke,0.9564774992659699,0.2188727534940705
JD Dix,0.9344367472110712,0.09874293403665112
Braylon Doughty,0.8655497712265207,0.007227796971375454
Levi Sterling,0.9578452860357215,0.2298162323858244
Brody Brecht,0.7601629731652366,8.587775862776883e-05
Caleb Lomavita,0.9390666834095861,0.11689428961463627
Tommy White,0.9154717276139496,0.04903088704984878
David Shields,0.9498279831732401,0.17248345014499933
Jared Thomas,0.9377053337405642,0.11124539927393765
Caleb Bonemer,0.9734090174560401,0.39845271820528405
Luke Dickerson,0.9734090174560401,0.39845271820528405
Chris Cortez,0.9258155691558599,0.0719562635143525
Jonathan Santucci,0.9509314792739371,0.17945855519640766
Wyatt Sanford,0.7856473892581913,0.00026474713872322406
Jacob Cozart,0.9457005731732093,0.14865304686321293
Owen Hall,0.8579381107433793,0.0053460514980958685
Payton Tolle,0.9744377842797934,0.4130851580913095
Tyson Lewis,0.7856473892581913,0.00026474713872322406
Boston Bateman,0.9526506508468814,0.19087405407734137
Bryce Cunningham,0.9214603535025292,0.06125634956135647
Cole Mathis,0.9773585704797657,0.45752844766362066
Ryan Sloan,0.8655497712265207,0.007227796971375454
Carter Johnson,0.7966499181996928,0.0004256429797364922
Bryce Meccage,0.9553249761323708,0.2100457564656235
Khal Stephen,0.9587762948536832,0.23756697968247398
Billy Amick,0.9724326256337775,0.3850313379051013
Ethan Anderson,0.9824836568116585,0.5469772267498761
Carter Holton,0.9728954263826847,0.39133731636903846
Griffin Burkholder,0.9363144909094203,0.10574808530740236
Ivan Luciano,0.9809974950036571,0.5194250031617423
Dylan Dreiling,0.9654816176906725,0.3013875627389639
Blake Larson,0.9706080098104148,0.36111697051859976
Dasan Hill,0.8326628550136748,0.0019259052653737036
Aiden May,0.9587762948536832,0.23756697968247398
Luke Holman,0.9587762948536832,0.23756697968247398
Ethan Schiefelbein,0.9526506508468814,0.19087405407734137
Gage Jump,0.9728954263826847,0.39133731636903846
Ryan Johnson,0.9587762948536832,0.23756697968247398
Josh Kuroda-Grauer,0.9740009653692744,0.4068095313871773
Drew Beam,0.9772706718922889,0.45612566043137837
Cole Messina,0.990946251398216,0.7330629704085346
Nick McLain,0.986533615845093,0.6294573340438071
Kevin Bazzell,0.9699689139250544,0.353086670670288
Brian Holiday,0.9882366944276078,0.6676392633474661
Nate Dohm,0.9758971209861291,0.4347397973612991
Josh Hartle,0.9509314792739371,0.17945855519640766
Joey Oakie,0.9197226026348606,0.057432991625345806
Josh Randall,0.9772706718922889,0.45612566043137837
Brandon Neely,0.9882366944276078,0.6676392633474661
Mike Sirota,0.9411886566609395,0.12625870918418589
Cobb Hightower,0.9614613919562238,0.26136896192504494
Thatcher Hurd,0.9587762948536832,0.23756697968247398
Ronny Cruz,0.9614613919562238,0.26136896192504494
Hunter Cranton,0.9611058866153096,0.25808950089886395
Gage Miller,0.986533615845093,0.6294573340438071
Jaron DeBerry,0.9772706718922889,0.45612566043137837
Nathan Flewelling,0.9809974950036571,0.5194250031617423
Johnny King,0.9738556478184072,0.4047423942489797
Khadim Diaw,0.9814221289145518,0.527156808545375
Austin Overn,0.9654816176906725,0.3013875627389639
Chase Harlan,0.9718054891246176,0.3766433567512299
Luke Sinnard,0.9563103680571676,0.21757075546370527
John Spikerman,0.9664622437083354,0.31201687623338126
Ryan Forcucci,0.9563103680571676,0.21757075546370527
Daniel Eagen,0.9563103680571676,0.21757075546370527
Casey Cook,0.9692866796912376,0.34470565587257496
Rodney Green,0.980997532127036,0.5194256742745916
Blake Wright,0.9857157365692552,0.6118828720286338
Casey Saucke,0.982083099117898,0.5394146357808354
Jackson Kent,0.9859571507803361,0.6170201834509663
Ryan Campos,0.990946251398216,0.7330629704085346
Austin Gordon,0.9875215959908914,0.6513410101852785
Eddie Rynders,0.9614613919562238,0.26136896192504494
Rafe Schlesinger,0.9859571507803361,0.6170201834509663
Michael Massey,0.9587762948536832,0.23756697968247398
Zach Ehrhard,0.9654816176906725,0.3013875627389639
Dakota Jordan,0.9654816176906725,0.3013875627389639
Peyton Stovall,0.9754812093468022,0.4284584140165256
Tyson Neighbors,0.9587762948536832,0.23756697968247398
Gage Ziehl,0.9882366944276078,0.6676392633474661
Ty Southisene,0.9787644811613443,0.4805430375453651
Josh Caron,0.9824836568116585,0.5469772267498761
Fenwick Trimble,0.982083099117898,0.5394146357808354
Marco Dinges,0.9898105000020719,0.7049153380769738
Nate Knowles,0.9867633181382789,0.6344806349642079
Sean Keys,0.9529109488206017,0.19266278313136248
Jaime Ferrer,0.9942937091351165,0.8225188242324819
Chase Allsup,0.9960332648506196,0.8731020748844318
Jakob Wright,0.9952609518201232,0.8502824973944227
Herick Hernandez,0.9952609518201232,0.8502824973944227
Carson DeMartini,0.962314117102454,0.2694009053769068
Parker Smith,0.9867633181382789,0.6344806349642079
Tytus Cissell,0.9614613919562238,0.26136896192504494
David Hagaman,0.9214603535025292,0.06125634956135647
Kavares Tears,0.9377053337405642,0.11124539927393765
Clark Candiotti,0.9960332648506196,0.8731020748844318
Nick Mitchell,0.9942937091351165,0.8225188242324819
Sam Stuhr,0.9960332648506196,0.8731020748844318
A.J. Causey,0.9960332648506196,0.8731020748844318
Sam Antonacci,0.9954563710335165,0.8560012343439921
Braden Davis,0.9712613863123598,0.36950988636686116
Dylan Jordan,0.9959419080121014,0.870372059310367
Trey Snyder,0.9787644811613443,0.4805430375453651
Will Taylor,0.9942937091351165,0.8225188242324819
Aidan Major,0.9960332648506196,0.8731020748844318
Jack Penney,0.993761570988969,0.8076217241221311
Brandon Clarke,0.9712613863123598,0.36950988636686116
Jakob Christian,0.9942937091351165,0.8225188242324819
Tristan Smith,0.9952609518201232,0.8502824973944227
Kale Fountain,0.9718054891246176,0.3766433567512299
Greysen Carter,0.9960332648506196,0.8731020748844318
Ariel Armas,0.9969497297171529,0.9009527966397372
Charlie Beilenson,0.9960332648506196,0.8731020748844318
Grant Shepardson,0.975347796386339,0.42646224793563936
John Holobetz,0.9960332648506196,0.8731020748844318
Jacob Kmatz,0.9960332648506196,0.8731020748844318
Jackson Wentworth,0.9867633181382789,0.6344806349642079
Caden Kendle,0.9942937091351165,0.8225188242324819
Ryan Stafford,0.9814221289145518,0.527156808545375
Carter Mathison,0.980997532127036,0.5194256742745916
Cole Hertzler,0.9758971209861291,0.4347397973612991
Connor Foley,0.9960332648506196,0.8731020748844318
Devin Fitz-Gerald,0.993618063221646,0.8036493044700465
Mason Marriott,0.9772706718922889,0.45612566043137837
Dennis Colleran,0.9772706718922889,0.45612566043137837
Brock Moore,0.9772706718922889,0.45612566043137837
Luke Hayden,0.9563103680571676,0.21757075546370527
Chase Mobley,0.9553249761323708,0.2100457564656235
