name,pick_7,pick_80,pick_109
Travis Bazzana,0.653985839547881,0.496292496163248,0.689140650053508
Chase Burns,0.618723836644241,0.496292496163248,0.689140650053508
Charlie Condon,0.618723836644241,0.496292496163248,0.689140650053508
Nick Kurtz,0.62292712161361,0.133385664358058,0.0809343311894124
Hagen Smith,0.653985839547881,0.496292496163248,0.689140650053508
Jac Caglianone,0.618723836644241,0.496292496163248,0.689140650053508
JJ Wetherholt,0.653985839547881,0.496292496163248,0.689140650053508
Christian Moore,0.587665118709971,0.133385664358058,0.0809343311894124
Konnor Griffin,0.646865787557005,0.374039749107687,0.444238159468494
Seaver King,0.62292712161361,0.314839080260653,0.38503749062146
Bryce Rainer,0.646865787557005,0.374039749107687,0.444238159468494
Braden Montgomery,0.587665118709971,0.314839080260653,0.38503749062146
Cam Smith,0.587665118709971,0.314839080260653,0.38503749062146
Jurrangelo Cijntje,0.542728147479016,0.120273677603264,0.0711639267734346
Braylon Payne,0.406268865153222,0.155993333736062,0.115374608108071
Carson Benge,0.62292712161361,0.133385664358058,0.0809343311894124
Trey Yesavage,0.62292712161361,0.133385664358058,0.0809343311894124
Kaelen Culpepper,0.542728147479016,0.120273677603264,0.0711639267734346
Vance Honeycutt,0.507466144575377,0.120273677603264,0.0711639267734346
Kellon Lindsey,0.646865787557005,0.192586333205092,0.140135000036446
Kash Mayfield,0.646865787557005,0.192586333205092,0.140135000036446
Ben Hess,0.462529173344422,0.108533171246146,0.063668933017235
Dante Nori,0.406268865153222,0.155993333736062,0.115374608108071
Walker Janek,0.587665118709971,0.133385664358058,0.0809343311894124
Slade Caldwell,0.60192881632605,0.179474346450299,0.130364595620468
Malcolm Moore,0.587665118709971,0.133385664358058,0.0809343311894124
Ryan Waldschmidt,0.62292712161361,0.133385664358058,0.0809343311894124
Griff O'Ferrall,0.462529173344422,0.108533171246146,0.063668933017235
Blake Burke,0.462529173344422,0.108533171246146,0.063668933017235
JD Dix,0.521729842191456,0.16773384009318,0.122869601864269
Braylon Doughty,0.682127790460645,0.192586333205092,0.140135000036446
Levi Sterling,0.521729842191456,0.16773384009318,0.122869601864269
Brody Brecht,0.587665118709971,0.314839080260653,0.38503749062146
Caleb Lomavita,0.507466144575377,0.120273677603264,0.0711639267734346
Tommy White,0.542728147479016,0.120273677603264,0.0711639267734346
David Shields,0.521729842191456,0.16773384009318,0.122869601864269
Jared Thomas,0.427267170440782,0.108533171246146,0.063668933017235
Caleb Bonemer,0.441530868056862,0.155993333736062,0.115374608108071
Luke Dickerson,0.441530868056862,0.155993333736062,0.115374608108071
Chris Cortez,0.542728147479016,0.120273677603264,0.0711639267734346
Jonathan Santucci,0.462529173344422,0.108533171246146,0.063668933017235
Wyatt Sanford,0.646865787557005,0.192586333205092,0.140135000036446
Jacob Cozart,0.542728147479016,0.120273677603264,0.0711639267734346
Owen Hall,0.646865787557005,0.192586333205092,0.140135000036446
Payton Tolle,0.382330199209828,0.0967926648890276,0.0561739392610365
Tyson Lewis,0.646865787557005,0.192586333205092,0.140135000036446
Boston Bateman,0.521729842191456,0.16773384009318,0.122869601864269
Bryce Cunningham,0.507466144575377,0.120273677603264,0.0711639267734346
Cole Mathis,0.382330199209828,0.0967926648890276,0.0561739392610365
Ryan Sloan,0.682127790460645,0.192586333205092,0.140135000036446
Carter Johnson,0.682127790460645,0.192586333205092,0.140135000036446
Bryce Meccage,0.486467839287817,0.16773384009318,0.122869601864269
Khal Stephen,0.462529173344422,0.108533171246146,0.063668933017235
Billy Amick,0.347068196306188,0.0967926648890276,0.0561739392610365
Ethan Anderson,0.382330199209828,0.0967926648890276,0.0561739392610365
Carter Holton,0.382330199209828,0.0967926648890276,0.0561739392610365
Griffin Burkholder,0.486467839287817,0.16773384009318,0.122869601864269
Ivan Luciano,0.406268865153222,0.155993333736062,0.115374608108071
Dylan Dreiling,0.347068196306188,0.0967926648890276,0.0561739392610365
Blake Larson,0.406268865153222,0.155993333736062,0.115374608108071
Dasan Hill,0.646865787557005,0.192586333205092,0.140135000036446
Aiden May,0.462529173344422,0.108533171246146,0.063668933017235
Luke Holman,0.462529173344422,0.108533171246146,0.063668933017235
Ethan Schiefelbein,0.521729842191456,0.16773384009318,0.122869601864269
Gage Jump,0.382330199209828,0.0967926648890276,0.0561739392610365
Ryan Johnson,0.462529173344422,0.108533171246146,0.063668933017235
Josh Kuroda-Grauer,0.382330199209828,0.0967926648890276,0.0561739392610365
Drew Beam,0.382330199209828,0.0967926648890276,0.0561739392610365
Cole Messina,0.302131225075234,0.085052158531909,0.051734392189398
Nick McLain,0.302131225075234,0.085052158531909,0.051734392189398
Kevin Bazzell,0.462529173344422,0.108533171246146,0.063668933017235
Brian Holiday,0.302131225075234,0.085052158531909,0.051734392189398
Nate Dohm,0.347068196306188,0.0967926648890276,0.0561739392610365
Josh Hartle,0.462529173344422,0.108533171246146,0.063668933017235
Joey Oakie,0.566666813422411,0.179474346450299,0.130364595620468
Josh Randall,0.382330199209828,0.0967926648890276,0.0561739392610365
Brandon Neely,0.302131225075234,0.085052158531909,0.051734392189398
Mike Sirota,0.462529173344422,0.108533171246146,0.063668933017235
Cobb Hightower,0.406268865153222,0.155993333736062,0.115374608108071
Thatcher Hurd,0.462529173344422,0.108533171246146,0.063668933017235
Ronny Cruz,0.406268865153222,0.155993333736062,0.115374608108071
Hunter Cranton,0.462529173344422,0.108533171246146,0.063668933017235
Gage Miller,0.302131225075234,0.085052158531909,0.051734392189398
Jaron DeBerry,0.382330199209828,0.0967926648890276,0.0561739392610365
Nathan Flewelling,0.406268865153222,0.155993333736062,0.115374608108071
Johnny King,0.441530868056862,0.155993333736062,0.115374608108071
Khadim Diaw,0.347068196306188,0.0967926648890276,0.0561739392610365
Austin Overn,0.347068196306188,0.0967926648890276,0.0561739392610365
Chase Harlan,0.406268865153222,0.155993333736062,0.115374608108071
Luke Sinnard,0.427267170440782,0.108533171246146,0.063668933017235
John Spikerman,0.382330199209828,0.0967926648890276,0.0561739392610365
Ryan Forcucci,0.427267170440782,0.108533171246146,0.063668933017235
Daniel Eagen,0.427267170440782,0.108533171246146,0.063668933017235
Casey Cook,0.382330199209828,0.0967926648890276,0.0561739392610365
Rodney Green,0.266869222171594,0.085052158531909,0.051734392189398
Blake Wright,0.302131225075234,0.085052158531909,0.051734392189398
Casey Saucke,0.302131225075234,0.085052158531909,0.051734392189398
Jackson Kent,0.302131225075234,0.085052158531909,0.051734392189398
Ryan Campos,0.302131225075234,0.085052158531909,0.051734392189398
Austin Gordon,0.302131225075234,0.085052158531909,0.051734392189398
Eddie Rynders,0.406268865153222,0.155993333736062,0.115374608108071
Rafe Schlesinger,0.302131225075234,0.085052158531909,0.051734392189398
Michael Massey,0.462529173344422,0.108533171246146,0.063668933017235
Zach Ehrhard,0.347068196306188,0.0967926648890276,0.0561739392610365
Dakota Jordan,0.347068196306188,0.0967926648890276,0.0561739392610365
Peyton Stovall,0.382330199209828,0.0967926648890276,0.0561739392610365
Tyson Neighbors,0.462529173344422,0.108533171246146,0.063668933017235
Gage Ziehl,0.302131225075234,0.085052158531909,0.051734392189398
Ty Southisene,0.326069891018628,0.144252827378943,0.110935061036432
Josh Caron,0.382330199209828,0.0967926648890276,0.0561739392610365
Fenwick Trimble,0.302131225075234,0.085052158531909,0.051734392189398
Marco Dinges,0.266869222171594,0.085052158531909,0.051734392189398
Nate Knowles,0.266869222171594,0.085052158531909,0.051734392189398
Sean Keys,0.462529173344422,0.108533171246146,0.063668933017235
Jaime Ferrer,0.106471273902406,0.0615711458176719,0.0428552980461214
Chase Allsup,0.106471273902406,0.0615711458176719,0.0428552980461214
Jakob Wright,0.106471273902406,0.0615711458176719,0.0428552980461214
Herick Hernandez,0.106471273902406,0.0615711458176719,0.0428552980461214
Carson DeMartini,0.347068196306188,0.0967926648890276,0.0561739392610365
Parker Smith,0.266869222171594,0.085052158531909,0.051734392189398
Tytus Cissell,0.406268865153222,0.155993333736062,0.115374608108071
David Hagaman,0.507466144575377,0.120273677603264,0.0711639267734346
Kavares Tears,0.427267170440782,0.108533171246146,0.063668933017235
Clark Candiotti,0.106471273902406,0.0615711458176719,0.0428552980461214
Nick Mitchell,0.106471273902406,0.0615711458176719,0.0428552980461214
Sam Stuhr,0.106471273902406,0.0615711458176719,0.0428552980461214
A.J. Causey,0.106471273902406,0.0615711458176719,0.0428552980461214
Sam Antonacci,0.106471273902406,0.0615711458176719,0.0428552980461214
Braden Davis,0.347068196306188,0.0967926648890276,0.0561739392610365
Dylan Jordan,0.16567194274944,0.120771814664706,0.102055966893155
Trey Snyder,0.326069891018628,0.144252827378943,0.110935061036432
Will Taylor,0.106471273902406,0.0615711458176719,0.0428552980461214
Aidan Major,0.106471273902406,0.0615711458176719,0.0428552980461214
Jack Penney,0.106471273902406,0.0615711458176719,0.0428552980461214
Brandon Clarke,0.347068196306188,0.0967926648890276,0.0561739392610365
Jakob Christian,0.106471273902406,0.0615711458176719,0.0428552980461214
Tristan Smith,0.106471273902406,0.0615711458176719,0.0428552980461214
Kale Fountain,0.406268865153222,0.155993333736062,0.115374608108071
Greysen Carter,0.106471273902406,0.0615711458176719,0.0428552980461214
Ariel Armas,0.106471273902406,0.0615711458176719,0.0428552980461214
Charlie Beilenson,0.106471273902406,0.0615711458176719,0.0428552980461214
Grant Shepardson,0.406268865153222,0.155993333736062,0.115374608108071
John Holobetz,0.106471273902406,0.0615711458176719,0.0428552980461214
Jacob Kmatz,0.106471273902406,0.0615711458176719,0.0428552980461214
Jackson Wentworth,0.266869222171594,0.085052158531909,0.051734392189398
Caden Kendle,0.106471273902406,0.0615711458176719,0.0428552980461214
Ryan Stafford,0.347068196306188,0.0967926648890276,0.0561739392610365
Carter Mathison,0.266869222171594,0.085052158531909,0.051734392189398
Cole Hertzler,0.347068196306188,0.0967926648890276,0.0561739392610365
Connor Foley,0.106471273902406,0.0615711458176719,0.0428552980461214
Devin Fitz-Gerald,0.16567194274944,0.120771814664706,0.102055966893155
Mason Marriott,0.382330199209828,0.0967926648890276,0.0561739392610365
Dennis Colleran,0.382330199209828,0.0967926648890276,0.0561739392610365
Brock Moore,0.382330199209828,0.0967926648890276,0.0561739392610365
Luke Hayden,0.427267170440782,0.108533171246146,0.063668933017235
Chase Mobley,0.486467839287817,0.16773384009318,0.122869601864269
