Round,Pick,Team,Name,Position,School,Signed,Bonus
1,1,Cleveland Guardians,Travis Bazzana,2B,4YR,Y,"$8,950,000"
1,2,Cincinnati Reds,Chase Burns,RHP,4YR,Y,"$9,250,000"
1,3,Colorado Rockies,Charlie Condon,OF,4YR,Y,"$9,250,000"
1,4,Athletics,Nick Kurtz,1B,4YR,Y,"$7,000,000"
1,5,Chicago White Sox,Hagen Smith,LHP,4YR,Y,"$8,000,000"
1,6,Kansas City Royals,Jac Caglianone,TWP,4YR,Y,"$7,497,500"
1,7,St. Louis Cardinals,JJ Wetherholt,SS,4YR,Y,"$6,900,000"
1,8,Los Angeles Angels,Christian Moore,2B,4YR,Y,"$4,997,500"
1,9,Pittsburgh Pirates,Konnor Griffin,SS,HS,Y,"$6,532,025"
1,10,Washington Nationals,Seaver King,SS,4YR,Y,"$5,150,000"
1,11,Detroit Tigers,Bryce Rainer,SS,HS,Y,"$5,797,500"
1,12,Boston Red Sox,Braden Montgomery,OF,4YR,Y,"$5,000,000"
1,13,San Francisco Giants,James Tibbs,OF,4YR,Y,"$4,747,500"
1,14,Chicago Cubs,Cam Smith,3B,4YR,Y,"$5,070,700"
1,15,Seattle Mariners,Jurrangelo Cijntje,SHP,4YR,Y,"$4,880,900"
1,16,Miami Marlins,P.J. Morlando,OF,HS,Y,"$3,400,000"
1,17,Milwaukee Brewers,Braylon Payne,OF,HS,Y,"$3,440,000"
1,18,Tampa Bay Rays,Theodore Gillen,OF,HS,Y,"$4,370,400"
1,19,New York Mets,Carson Benge,OF,4YR,Y,"$3,997,500"
1,20,Toronto Blue Jays,Trey Yesavage,RHP,4YR,Y,"$4,175,000"
1,21,Minnesota Twins,Kaelen Culpepper,SS,4YR,Y,"$3,934,400"
1,22,Baltimore Orioles,Vance Honeycutt,OF,4YR,Y,"$4,000,000"
1,23,Los Angeles Dodgers,Kellon Lindsey,SS,HS,Y,"$3,297,500"
1,24,Atlanta Braves,Cameron Caminiti,LHP,HS,Y,"$3,553,800"
1,25,San Diego Padres,Kash Mayfield,LHP,HS,Y,"$3,442,100"
1,26,New York Yankees,Ben Hess,RHP,4YR,Y,"$2,747,500"
1,27,Philadelphia Phillies,Dante Nori,OF,HS,Y,"$2,497,500"
1,28,Houston Astros,Walker Janek,C,4YR,Y,"$3,130,000"
1,29,Arizona Diamondbacks,Slade Caldwell,OF,HS,Y,"$3,087,000"
1,30,Texas Rangers,Malcolm Moore,C,4YR,Y,"$3,000,000"
PPI,31,Arizona Diamondbacks,Ryan Waldschmidt,OF,4YR,Y,"$2,904,000"
PPI,32,Baltimore Orioles,Griff O'Ferrall,SS,4YR,Y,"$2,697,500"
1C,33,Minnesota Twins,Kyle DeBarge,SS,4YR,Y,"$2,400,000"
CB-A,34,Milwaukee Brewers,Blake Burke,1B,4YR,Y,"$2,100,000"
CB-A,35,Arizona Diamondbacks,JD Dix,SS,HS,Y,"$2,150,000"
CB-A,36,Cleveland Guardians,Braylon Doughty,RHP,HS,Y,"$2,569,200"
CB-A,37,Pittsburgh Pirates,Levi Sterling,RHP,HS,Y,"$2,508,900"
CB-A,38,Colorado Rockies,Brody Brecht,RHP,4YR,Y,"$2,700,000"
CB-A,39,Washington Nationals,Caleb Lomavita,C,4YR,Y,"$2,325,000"
2,40,Athletics,Tommy White,3B,4YR,Y,"$3,000,000"
2,41,Kansas City Royals,David Shields,LHP,HS,Y,"$2,300,000"
2,42,Colorado Rockies,Jared Thomas,OF,4YR,Y,"$2,000,000"
2,43,Chicago White Sox,Caleb Bonemer,SS,HS,Y,"$2,997,500"
2,44,Washington Nationals,Luke Dickerson,SS,HS,Y,"$3,800,000"
2,45,Los Angeles Angels,Chris Cortez,RHP,4YR,Y,"$1,597,500"
2,46,New York Mets,Jonathan Santucci,LHP,4YR,Y,"$2,031,700"
2,47,Pittsburgh Pirates,Wyatt Sanford,SS,HS,Y,"$2,497,500"
2,48,Cleveland Guardians,Jacob Cozart,C,4YR,Y,"$2,050,000"
2,49,Detroit Tigers,Owen Hall,RHP,HS,Y,"$1,747,500"
2,50,Boston Red Sox,Payton Tolle,LHP,4YR,Y,"$2,000,000"
2,51,Cincinnati Reds,Tyson Lewis,SS,HS,Y,"$3,047,500"
2,52,San Diego Padres,Boston Bateman,LHP,HS,Y,"$2,500,000"
2,53,New York Yankees,Bryce Cunningham,RHP,4YR,Y,"$2,297,500"
2,54,Chicago Cubs,Cole Mathis,3B,4YR,Y,"$1,681,200"
2,55,Seattle Mariners,Ryan Sloan,RHP,HS,Y,"$3,000,000"
2,56,Miami Marlins,Carter Johnson,SS,HS,Y,"$2,800,000"
2,57,Milwaukee Brewers,Bryce Meccage,RHP,HS,Y,"$2,500,000"
2,58,Tampa Bay Rays,Emilien Pitre,2B,4YR,Y,"$1,522,700"
2,59,Toronto Blue Jays,Khal Stephen,RHP,4YR,Y,"$1,116,750"
2,60,Minnesota Twins,Billy Amick,3B,4YR,Y,"$1,453,700"
2,61,Baltimore Orioles,Ethan Anderson,C,4YR,Y,"$1,172,500"
2,62,Atlanta Braves,Carter Holton,LHP,4YR,Y,"$1,347,500"
2,63,Philadelphia Phillies,Griffin Burkholder,OF,HS,Y,"$2,497,500"
2,64,Arizona Diamondbacks,Ivan Luciano,C,HS,Y,"$990,000"
2,65,Texas Rangers,Dylan Dreiling,OF,4YR,Y,"$1,287,600"
CB-B,66,Tampa Bay Rays,Tyler Bell,SS,HS,N,
CB-B,67,Milwaukee Brewers,Chris Levonas,RHP,HS,N,
CB-B,68,Chicago White Sox,Blake Larson,LHP,HS,Y,"$1,397,500"
CB-B,69,Minnesota Twins,Dasan Hill,LHP,HS,Y,"$1,997,500"
CB-B,70,Miami Marlins,Aiden May,RHP,4YR,Y,"$900,000"
CB-B,71,Cincinnati Reds,Luke Holman,RHP,4YR,Y,"$997,500"
CB-B,72,Detroit Tigers,Ethan Schiefelbein,LHP,HS,Y,"$1,797,500"
CB-B,73,Athletics,Gage Jump,LHP,4YR,Y,"$2,000,000"
2C,74,Los Angeles Angels,Ryan Johnson,RHP,4YR,Y,"$1,747,500"
3,75,Athletics,Josh Kuroda-Grauer,SS,4YR,Y,"$1,043,900"
3,76,Kansas City Royals,Drew Beam,RHP,4YR,Y,"$1,097,500"
3,77,Colorado Rockies,Cole Messina,C,4YR,Y,"$1,011,900"
3,78,Chicago White Sox,Nick McLain,OF,4YR,Y,"$800,000"
3,79,Washington Nationals,Kevin Bazzell,C,4YR,Y,"$980,300"
3,80,St. Louis Cardinals,Brian Holiday,RHP,4YR,Y,"$800,000"
3,81,Los Angeles Angels,Ryan Prager,LHP,4YR,N,
3,82,New York Mets,Nate Dohm,RHP,4YR,Y,"$797,500"
3,83,Pittsburgh Pirates,Josh Hartle,LHP,4YR,Y,"$850,000"
3,84,Cleveland Guardians,Joey Oakie,RHP,HS,Y,"$2,000,000"
3,85,Detroit Tigers,Josh Randall,RHP,4YR,Y,"$697,500"
3,86,Boston Red Sox,Brandon Neely,RHP,4YR,Y,"$700,000"
3,87,Cincinnati Reds,Mike Sirota,OF,4YR,Y,"$863,300"
3,88,San Diego Padres,Cobb Hightower,SS,HS,Y,"$852,300"
3,89,New York Yankees,Thatcher Hurd,RHP,4YR,Y,"$836,400"
3,90,Chicago Cubs,Ronny Cruz,SS,HS,Y,"$620,000"
3,91,Seattle Mariners,Hunter Cranton,RHP,4YR,Y,"$50,000"
3,92,Miami Marlins,Gage Miller,2B,4YR,Y,"$800,800"
3,93,Milwaukee Brewers,Jaron DeBerry,RHP,4YR,Y,"$25,000"
3,94,Tampa Bay Rays,Nathan Flewelling,C,HS,Y,"$774,000"
3,95,Toronto Blue Jays,Johnny King,LHP,HS,Y,"$1,247,500"
3,96,Minnesota Twins,Khadim Diaw,C,4YR,Y,"$597,500"
3,97,Baltimore Orioles,Austin Overn,OF,4YR,Y,"$847,500"
3,98,Los Angeles Dodgers,Chase Harlan,3B,HS,Y,"$1,747,500"
3,99,Atlanta Braves,Luke Sinnard,RHP,4YR,Y,"$735,300"
3,100,Philadelphia Phillies,John Spikerman,SS,4YR,Y,"$672,500"
3,101,Houston Astros,Ryan Forcucci,RHP,4YR,Y,"$997,500"
3,102,Arizona Diamondbacks,Daniel Eagen,RHP,4YR,Y,"$650,000"
3,103,Texas Rangers,Casey Cook,OF,4YR,Y,"$700,000"
4,104,Athletics,Rodney Green,OF,4YR,Y,"$1,000,000"
4,105,Kansas City Royals,Louis-Philippe Langevin,RHP,4YR,Y,"$597,500"
4,106,Colorado Rockies,Blake Wright,3B,4YR,Y,"$250,000"
4,107,Chicago White Sox,Casey Saucke,OF,4YR,Y,"$847,500"
4,108,Washington Nationals,Jackson Kent,LHP,4YR,Y,"$625,000"
4,109,St. Louis Cardinals,Ryan Campos,C,4YR,Y,"$669,300"
4,110,Los Angeles Angels,Austin Gordon,RHP,4YR,Y,"$572,500"
4,111,New York Mets,Eli Serrano,OF,4YR,Y,"$697,500"
4,112,Pittsburgh Pirates,Eddie Rynders,SS,HS,Y,"$647,200"
4,113,Cleveland Guardians,Rafe Schlesinger,LHP,4YR,Y,"$466,900"
4,114,Detroit Tigers,Michael Massey,RHP,4YR,Y,"$522,500"
4,115,Boston Red Sox,Zach Ehrhard,OF,4YR,Y,"$500,000"
4,116,San Francisco Giants,Dakota Jordan,OF,4YR,Y,"$1,997,500"
4,117,Cincinnati Reds,Peyton Stovall,2B,4YR,Y,"$625,000"
4,118,San Diego Padres,Tyson Neighbors,RHP,4YR,Y,"$600,000"
4,119,New York Yankees,Gage Ziehl,RHP,4YR,Y,"$637,000"
4,120,Chicago Cubs,Ty Southisene,SS,HS,Y,"$1,000,000"
4,121,Seattle Mariners,Josh Caron,C,4YR,Y,"$594,000"
4,122,Miami Marlins,Fenwick Trimble,OF,4YR,Y,"$550,000"
4,123,Milwaukee Brewers,Marco Dinges,C,4YR,Y,"$500,000"
4,124,Tampa Bay Rays,Nate Knowles,RHP,4YR,Y,"$397,500"
4,125,Toronto Blue Jays,Sean Keys,3B,4YR,Y,"$569,700"
4,126,Minnesota Twins,Jaime Ferrer,OF,4YR,Y,"$425,550"
4,127,Baltimore Orioles,Chase Allsup,RHP,4YR,Y,"$522,500"
4,128,Los Angeles Dodgers,Jakob Wright,LHP,4YR,Y,"$553,800"
4,129,Atlanta Braves,Herick Hernandez,LHP,4YR,Y,"$472,500"
4,130,Philadelphia Phillies,Carson DeMartini,SS,4YR,Y,"$542,900"
4,131,Houston Astros,Parker Smith,RHP,4YR,Y,"$447,500"
4,132,Arizona Diamondbacks,Tytus Cissell,SS,HS,Y,"$800,000"
4,133,Texas Rangers,David Hagaman,RHP,4YR,Y,"$515,000"
4C,134,San Diego Padres,Kavares Tears,OF,4YR,Y,"$525,200"
4C,135,San Diego Padres,Clark Candiotti,RHP,4YR,Y,"$80,000"
4C,136,Toronto Blue Jays,Nick Mitchell,OF,4YR,Y,"$467,500"
5,137,Athletics,Sam Stuhr,RHP,4YR,Y,"$510,000"
5,138,Kansas City Royals,A.J. Causey,RHP,4YR,Y,"$477,500"
5,139,Colorado Rockies,Lebarron Johnson,RHP,4YR,Y,"$500,000"
5,140,Chicago White Sox,Sam Antonacci,IF,4YR,Y,"$572,500"
5,141,Washington Nationals,Randal Diaz-Morales,SS,4YR,Y,"$420,000"
5,142,St. Louis Cardinals,Braden Davis,LHP,4YR,Y,"$485,700"
5,143,Los Angeles Angels,Dylan Jordan,RHP,HS,Y,"$1,247,500"
5,144,New York Mets,Trey Snyder,SS,HS,Y,"$1,322,500"
5,145,Pittsburgh Pirates,Will Taylor,OF,4YR,Y,"$497,500"
5,146,Cleveland Guardians,Aidan Major,RHP,4YR,Y,"$425,000"
5,147,Detroit Tigers,Jack Penney,SS,4YR,Y,"$397,500"
5,148,Boston Red Sox,Brandon Clarke,LHP,JC,Y,"$400,000"
5,149,San Francisco Giants,Jakob Christian,OF,4YR,Y,"$397,500"
5,150,Cincinnati Reds,Tristan Smith,LHP,4YR,Y,"$600,000"
5,151,San Diego Padres,Kale Fountain,3B,HS,Y,"$1,700,000"
5,152,New York Yankees,Greysen Carter,RHP,4YR,Y,"$440,100"
5,153,Chicago Cubs,Ariel Armas,C,4YR,Y,"$375,000"
5,154,Seattle Mariners,Charlie Beilenson,RHP,4YR,Y,"$25,000"
5,155,Miami Marlins,Grant Shepardson,RHP,HS,Y,"$897,500"
5,156,Milwaukee Brewers,John Holobetz,RHP,4YR,Y,"$322,500"
5,157,Tampa Bay Rays,Jacob Kmatz,RHP,4YR,Y,"$397,500"
5,158,Toronto Blue Jays,Jackson Wentworth,RHP,4YR,Y,"$412,100"
5,159,Minnesota Twins,Caden Kendle,OF,4YR,Y,"$147,500"
5,160,Baltimore Orioles,Ryan Stafford,C,4YR,Y,"$404,500"
5,161,Atlanta Braves,Nicholas Montgomery,C,HS,Y,"$997,500"
5,162,Philadelphia Phillies,Carter Mathison,OF,4YR,Y,"$447,500"
5,163,Houston Astros,Cole Hertzler,RHP,4YR,Y,"$393,700"
5,164,Arizona Diamondbacks,Connor Foley,RHP,4YR,Y,"$1,000,000"
5,165,Texas Rangers,Devin Fitz-Gerald,SS,HS,Y,"$900,000"
6,166,Athletics,Josiah Romeo,RHP,HS,Y,"$550,000"
6,167,Kansas City Royals,Tanner Jones,RHP,4YR,Y,"$379,600"
6,168,Colorado Rockies,Konner Eaton,LHP,4YR,Y,"$378,900"
6,169,Chicago White Sox,Jackson Appel,C,4YR,Y,"$122,500"
6,170,Washington Nationals,Davian Garcia,RHP,4YR,Y,"$425,000"
6,171,St. Louis Cardinals,Josh Kross,C,4YR,Y,"$369,100"
6,172,Los Angeles Angels,Peyton Olejnik,RHP,4YR,Y,"$197,500"
6,173,New York Mets,Corey Collins,1B,4YR,Y,"$272,500"
6,174,Pittsburgh Pirates,Matt Ager,RHP,4YR,Y,"$357,400"
6,175,Cleveland Guardians,Caden Favors,LHP,4YR,Y,"$75,000"
6,176,Detroit Tigers,Woody Hadeen,SS,4YR,Y,"$297,500"
6,177,Boston Red Sox,Blake Aita,RHP,4YR,Y,"$300,000"
6,178,San Francisco Giants,Robert Hipwell,3B,4YR,Y,"$345,700"
6,179,Cincinnati Reds,Jacob Friend,C,4YR,Y,"$272,500"
6,180,San Diego Padres,Darrien McDowell,OF,4YR,Y,"$50,000"
6,181,New York Yankees,Griffin Herring,LHP,4YR,Y,"$797,500"
6,182,Chicago Cubs,Ryan Gallagher,RHP,4YR,Y,"$300,000"
6,183,Seattle Mariners,Grant Knipp,TWP,4YR,Y,"$275,000"
6,184,Miami Marlins,Payton Green,SS,4YR,Y,"$328,800"
6,185,Milwaukee Brewers,Chandler Welch,RHP,4YR,Y,"$237,500"
6,186,Tampa Bay Rays,Janzen Keisel,RHP,4YR,Y,"$272,500"
6,187,Toronto Blue Jays,Aaron Parker,C,4YR,Y,"$297,500"
6,188,Minnesota Twins,Derek Bender,C,4YR,Y,"$297,500"
6,189,Baltimore Orioles,DJ Layton,SS,HS,Y,"$715,800"
6,190,Los Angeles Dodgers,Brooks Auger,RHP,4YR,Y,"$197,500"
6,191,Atlanta Braves,Ethan Bagwell,RHP,HS,Y,"$822,500"
6,192,Philadelphia Phillies,Kodey Shojinaga,C,4YR,Y,"$257,500"
6,193,Houston Astros,Caden Powell,SS,JC,Y,"$422,500"
6,194,Arizona Diamondbacks,Mason Marriott,RHP,4YR,Y,"$241,000"
6,195,Texas Rangers,Garrett Horn,LHP,4YR,Y,"$250,000"
7,196,Athletics,Dylan Fien,C,HS,Y,"$550,000"
7,197,Kansas City Royals,Dennis Colleran,RHP,4YR,Y,"$247,500"
7,198,Colorado Rockies,Fidel Ulloa,RHP,4YR,Y,"$295,300"
7,199,Chicago White Sox,Phil Fox,RHP,4YR,Y,"$197,500"
7,200,Washington Nationals,Robert Cranz,RHP,4YR,Y,"$190,000"
7,201,St. Louis Cardinals,Andrew Dutkanych,RHP,4YR,Y,"$300,000"
7,202,Los Angeles Angels,Bridger Holmes,RHP,4YR,Y,"$215,000"
7,203,New York Mets,William Watson,RHP,4YR,Y,"$281,300"
7,204,Pittsburgh Pirates,Connor Wietgrefe,LHP,4YR,Y,"$247,500"
7,205,Cleveland Guardians,Cameron Sullivan,RHP,HS,Y,"$525,000"
7,206,Detroit Tigers,Jackson Strong,OF,4YR,Y,"$222,500"
7,207,Boston Red Sox,Will Turner,OF,4YR,Y,"$250,000"
7,208,San Francisco Giants,Greg Farone,LHP,4YR,Y,"$204,150"
7,209,Cincinnati Reds,Myles Smith,OF,4YR,Y,"$247,500"
