Pick,Number,Team
1/CLE,1,CLE
2/CIN,2,CIN
3/COL,3,COL
4/OAK,4,OAK
5/CHW,5,CHW
6/KCR,6,KCR
7/STL,7,STL
8/LAA,8,LAA
9/PIT,9,PIT
10/WSN,10,WSN
11/DET,11,DET
12/BOS,12,BOS
13/SFG,13,SFG
14/CHC,14,CHC
15/SEA,15,SEA
16/MIA,16,MIA
17/MIL,17,MIL
18/TBR,18,TBR
19/NYM,19,NYM
20/TOR,20,TOR
21/MIN,21,MIN
22/BAL,22,BAL
23/LAD,23,LAD
24/ATL,24,ATL
25/SDP,25,SDP
26/NYY,26,NYY
27/PHI,27,PHI
28/HOU,28,HOU
29/ARI,29,ARI
30/TEX,30,TEX
31/ARI,31,ARI
32/BAL,32,BAL
33/MIN,33,MIN
34/MIL,34,MIL
35/ARI,35,ARI
36/CLE,36,CLE
37/PIT,37,PIT
38/COL,38,COL
39/WSN,39,WSN
40/OAK,40,OAK
41/KCR,41,KCR
42/COL,42,COL
43/CHW,43,CHW
44/WSN,44,WSN
45/LAA,45,LAA
46/NYM,46,NYM
47/PIT,47,PIT
48/CLE,48,CLE
49/DET,49,DET
50/BOS,50,BOS
51/CIN,51,CIN
52/SDP,52,SDP
53/NYY,53,NYY
54/CHC,54,CHC
55/SEA,55,SEA
56/MIA,56,MIA
57/MIL,57,MIL
58/TBR,58,TBR
59/TOR,59,TOR
60/MIN,60,MIN
61/BAL,61,BAL
62/ATL,62,ATL
63/PHI,63,PHI
64/ARI,64,ARI
65/TEX,65,TEX
66/TBR,66,TBR
67/MIL,67,MIL
68/CHW,68,CHW
69/MIN,69,MIN
70/MIA,70,MIA
71/CIN,71,CIN
72/DET,72,DET
73/OAK,73,OAK
74/LAA,74,LAA
75/OAK,75,OAK
76/KCR,76,KCR
77/COL,77,COL
78/CHW,78,CHW
79/WSN,79,WSN
80/STL,80,STL
81/LAA,81,LAA
82/NYM,82,NYM
83/PIT,83,PIT
84/CLE,84,CLE
85/DET,85,DET
86/BOS,86,BOS
87/CIN,87,CIN
88/SDP,88,SDP
89/NYY,89,NYY
90/CHC,90,CHC
91/SEA,91,SEA
92/MIA,92,MIA
93/MIL,93,MIL
94/TBR,94,TBR
95/TOR,95,TOR
96/MIN,96,MIN
97/BAL,97,BAL
98/LAD,98,LAD
99/ATL,99,ATL
100/PHI,100,PHI
101/HOU,101,HOU
102/ARI,102,ARI
103/TEX,103,TEX
104/OAK,104,OAK
105/KCR,105,KCR
106/COL,106,COL
107/CHW,107,CHW
108/WSN,108,WSN
109/STL,109,STL
110/LAA,110,LAA
111/NYM,111,NYM
112/PIT,112,PIT
113/CLE,113,CLE
114/DET,114,DET
115/BOS,115,BOS
116/SFG,116,SFG
117/CIN,117,CIN
118/SDP,118,SDP
119/NYY,119,NYY
120/CHC,120,CHC
121/SEA,121,SEA
122/MIA,122,MIA
123/MIL,123,MIL
124/TBR,124,TBR
125/TOR,125,TOR
126/MIN,126,MIN
127/BAL,127,BAL
128/LAD,128,LAD
129/ATL,129,ATL
130/PHI,130,PHI
131/HOU,131,HOU
132/ARI,132,ARI
133/TEX,133,TEX
134/SDP,134,SDP
135/SDP,135,SDP
136/TOR,136,TOR
137/OAK,137,OAK
138/KCR,138,KCR
139/COL,139,COL
140/CHW,140,CHW
141/WSN,141,WSN
142/STL,142,STL
143/LAA,143,LAA
144/NYM,144,NYM
145/PIT,145,PIT
146/CLE,146,CLE
147/DET,147,DET
148/BOS,148,BOS
149/SFG,149,SFG
150/CIN,150,CIN
151/SDP,151,SDP
152/NYY,152,NYY
153/CHC,153,CHC
154/SEA,154,SEA
155/MIA,155,MIA
156/MIL,156,MIL
157/TBR,157,TBR
158/TOR,158,TOR
159/MIN,159,MIN
160/BAL,160,BAL
161/ATL,161,ATL
162/PHI,162,PHI
163/HOU,163,HOU
164/ARI,164,ARI
165/TEX,165,TEX
194/ARI,194,ARI
197/KCR,197,KCR
213/SEA,213,SEA
238/CIN,238,CIN
295/CLE,295,CLE